step	loss
0	0.4741816222667694
1	0.3084530532360077
2	0.2854141592979431
3	0.26921409368515015
4	0.24463212490081787
5	0.22406171262264252
6	0.20633664727210999
7	0.18584440648555756
8	0.16691268980503082
9	0.1458057314157486
10	0.13116195797920227
11	0.11801715195178986
12	0.10294481366872787
13	0.09214703738689423
14	0.08539197593927383
15	0.07873399555683136
