step	jaccard_coeff
0	0.0
1	0.0
2	0.0
3	0.0
4	0.27605602344660773
5	0.21738341847881348
6	0.5429418176341605
7	0.5698047133879507
8	0.6216360469689308
9	0.6944378055945588
10	0.7022962487864896
11	0.7004320645420307
12	0.7132451435821484
13	0.7224731384925895
14	0.7296014785948459
15	0.7272787861284518
