step	dice
0	0.0
1	0.0
2	0.0
3	0.0
4	0.4326706952896702
5	0.35713221517415744
6	0.7037748428734268
7	0.725956175985991
8	0.766677637847108
9	0.8196675065933017
10	0.825116367714648
11	0.8238283423932902
12	0.8326247370424243
13	0.8388788450133474
14	0.8436642632701552
15	0.8421093247588425
